event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Natasha Bow,48.96,35,38,40,40,43,45,40,45,85
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Sophie Prater,51.36,50,53,56,65,69,-71,56,69,125
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Raagini Rampal,54.64,50,55,-60,60,-65,65,55,65,120
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Katie Yilmaz,53.94,49,-52,-52,55,61,-65,49,61,110
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Cary Huynh,54.02,42,45,-47,-57,60,-65,45,60,105
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Natalya Ghetto,53.36,40,43,46,50,53,-56,46,53,99
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Sabah Chamoun,59.00,72,-75,-75,95,100,-103,72,100,172
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Juliana Ghetto,55.06,52,-56,-56,64,67,-70,52,67,119
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Nicole Boutsikakis,57.12,37,40,-43,53,55,-60,40,55,95
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Apsar Shaik,57.74,37,40,-43,53,-58,-58,40,53,93
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Fatima Yakubu,58.68,-85,-85,-85,0,0,0,0,0,0
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Madeline Wu,63.06,-64,64,68,80,83,85,68,85,153
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Pauline Acierda,60.48,52,-56,-58,68,72,75,52,75,127
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Indianna Wilson,62.80,43,46,49,53,56,-60,49,56,105
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Imogen Clements,70.08,55,58,61,70,75,80,61,80,141
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Georgia Oberekar,67.48,-63,63,-67,73,-76,0,63,73,136
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Laura Cruickshank,65.82,47,50,53,-56,60,64,53,64,117
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Jarian Hogan,75.02,67,70,-73,84,-88,-90,70,84,154
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Annabel Thomson,80.42,71,-75,-75,90,95,100,71,100,171
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Erika Maslen,94.30,-53,53,56,65,70,75,56,75,131
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,female,Jessica Treweek,92.94,36,39,-42,48,52,-55,39,52,91
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,male,Gordon Fu,66.76,85,93,-100,115,-125,-125,93,115,208
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,male,Nelson Harris,72.92,-110,110,-116,140,146,-152,110,146,256
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,male,Jack Yang,72.44,105,109,112,127,-132,-135,112,127,239
NSW U20/U23 Championships & Memorial Open Competition,2021-12-09,male,Corey Radford,72.36,85,90,-96,110,115,-121,90,115,205
