event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U10 Men ,ANTONIO Madiba,29.6,10.0,11.0,13.0,15.0,17.0,-19.0,13.0,17.0,30.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Men 47,CLEMENT Virgile,44.0,22.0,24.0,26.0,26.0,28.0,30.0,26.0,30.0,56.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Men 52,SKUPIEN LECLERC Leo,51.8,29.0,31.0,33.0,40.0,42.0,44.0,33.0,44.0,77.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Men 60,AUVRAY Charly,57.1,14.0,16.0,18.0,-21.0,21.0,-22.0,18.0,21.0,39.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Men 60,GOMES Lorenzo,59.9,19.0,21.0,23.0,25.0,-27.0,-28.0,23.0,25.0,48.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U10 Women ,PETIT Julia,33.1,9.0,10.0,11.0,10.0,12.0,13.0,11.0,13.0,24.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Women 35,REMONATO Iryna,34.0,11.0,13.0,-15.0,12.0,13.0,15.0,13.0,15.0,28.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U13 Women 44,FENNANE Israe,40.9,11.0,-13.0,13.0,14.0,15.0,17.0,13.0,17.0,30.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U15 Women 48,FOUGERON Marie mai,46.8,22.0,-24.0,24.0,28.0,30.0,-32.0,24.0,30.0,54.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U17 Women 58,PEUGNET Noémie,55.1,29.0,31.0,32.0,37.0,40.0,43.0,32.0,43.0,75.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U15 Women 48,FOUGERON Marie mai,46.8,22.0,-24.0,24.0,28.0,30.0,-32.0,24.0,30.0,54.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U17 Women 58,PEUGNET Noémie,55.1,29.0,31.0,32.0,37.0,40.0,43.0,32.0,43.0,75.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 58,ETIENNE Morgane,56.8,45.0,48.0,50.0,57.0,60.0,-62.0,50.0,60.0,110.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,PACCOT Pauline,60.0,44.0,48.0,-51.0,53.0,59.0,63.0,48.0,63.0,111.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,VERDY Laeticia,60.3,40.0,-42.0,42.0,54.0,58.0,61.0,42.0,61.0,103.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,ARNAUD Enora,62.3,38.0,40.0,42.0,50.0,53.0,56.0,42.0,56.0,98.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 69,FOURNY Perrine,67.6,52.0,54.0,56.0,64.0,66.0,68.0,56.0,68.0,124.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 77,JOLI CAQUET Katline,75.8,50.0,53.0,55.0,63.0,66.0,70.0,55.0,70.0,125.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 77,MAHOUDEAU Sarah,75.7,48.0,-51.0,-51.0,60.0,63.0,66.0,48.0,66.0,114.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 58,ETIENNE Morgane,56.8,45.0,48.0,50.0,57.0,60.0,-62.0,50.0,60.0,110.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,PACCOT Pauline,60.0,44.0,48.0,-51.0,53.0,59.0,63.0,48.0,63.0,111.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,VERDY Laeticia,60.3,40.0,-42.0,42.0,54.0,58.0,61.0,42.0,61.0,103.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,ARNAUD Enora,62.3,38.0,40.0,42.0,50.0,53.0,56.0,42.0,56.0,98.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 69,FOURNY Perrine,67.6,52.0,54.0,56.0,64.0,66.0,68.0,56.0,68.0,124.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 77,JOLI CAQUET Katline,75.8,50.0,53.0,55.0,63.0,66.0,70.0,55.0,70.0,125.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 77,MAHOUDEAU Sarah,75.7,48.0,-51.0,-51.0,60.0,63.0,66.0,48.0,66.0,114.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U15 Women 69,CHAUMET Maia,67.6,16.0,18.0,20.0,20.0,22.0,24.0,20.0,24.0,44.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U20 Women 69,ARNAUD Coline,69.0,26.0,28.0,-30.0,34.0,36.0,38.0,28.0,38.0,66.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 58,TRIENTZ Floriane,57.2,43.0,45.0,48.0,60.0,64.0,-70.0,48.0,64.0,112.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 63,FAIVRE Inolla,58.9,-40.0,40.0,-43.0,60.0,63.0,65.0,40.0,65.0,105.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,SEN Women 77,ORTIZ Natalia,72.2,30.0,32.0,34.0,40.0,44.0,47.0,34.0,47.0,81.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U15 Women 69,CHAUMET Maia,67.6,16.0,18.0,20.0,20.0,22.0,24.0,20.0,24.0,44.0
CVL - Challenge Avenir - Vierzon - NORD BM,2025-11-15,U20 Women 69,ARNAUD Coline,69.0,26.0,28.0,-30.0,34.0,36.0,38.0,28.0,38.0,66.0
