meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2017 National Junior Championships,2017-02-26,Junior Men's +105 kg,Ryan Sennett,132.77,-140,140,-1,170,180,-1,140,180,320
2017 National Junior Championships,2017-02-26,Junior Men's 105 kg,Dylan Cooper,104.04,-132,132,138,175,182,-192,138,182,320
2017 National Junior Championships,2017-02-26,Junior Men's 69 kg,Clarence Cummings,68.96,131,-136,139,169,177,-184,139,177,316
2017 National Junior Championships,2017-02-26,Junior Men's 105 kg,Zackary Burks,98.16,125,130,133,172,-177,-177,133,172,305
2017 National Junior Championships,2017-02-26,Junior Men's 94 kg,Jay Koski,91.81,120,-127,130,158,163,173,130,173,303
2017 National Junior Championships,2017-02-26,Junior Men's 105 kg,Heaverth Tan,103.44,125,-130,132,-167,-170,170,132,170,302
2017 National Junior Championships,2017-02-26,Junior Men's 77 kg,Mason Groehler,76.73,130,-135,-140,160,170,-174,130,170,300
2017 National Junior Championships,2017-02-26,Junior Men's 105 kg,Anthony Yurich,104.27,121,126,130,-163,165,169,130,169,299
2017 National Junior Championships,2017-02-26,Junior Men's 85 kg,Josh Piasecki,82.97,125,130,134,157,164,-169,134,164,298
2017 National Junior Championships,2017-02-26,Junior Men's 94 kg,Matthew Montgomery,92.73,127,-131,-132,160,165,-168,127,165,292
2017 National Junior Championships,2017-02-26,Junior Men's 85 kg,Kolton Koontz,81.77,125,128,132,155,-160,160,132,160,292
2017 National Junior Championships,2017-02-26,Junior Men's 94 kg,Nicholas Bramble,91.91,-123,123,125,155,161,166,125,166,291
2017 National Junior Championships,2017-02-26,Junior Men's 85 kg,Omar Cummings,78.07,128,-133,-135,150,-160,160,128,160,288
2017 National Junior Championships,2017-02-26,Junior Men's 85 kg,Sam Ernst,84.28,134,-138,-138,153,-160,-160,134,153,287
2017 National Junior Championships,2017-02-26,Junior Men's 69 kg,Jordan Wissinger,68.4,-122,122,126,150,154,158,126,158,284
