meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Mash Mafia Classic,2018-05-05,Open Men's 94 kg,Nathan Damron,93.5,156,156,163,185,195,195,163,195,358
Mash Mafia Classic,2018-05-05,Open Men's 94 kg,Derek Bryant,93.7,125,130,135,155,162,170,135,170,305
Mash Mafia Classic,2018-05-05,Open Men's 105 kg,Morgan McCullough,96.4,115,120,126,155,162,167,126,167,293
Mash Mafia Classic,2018-05-05,Open Men's 94 kg,Cole Ramey,90,85,93,105,125,135,140,105,140,245
Mash Mafia Classic,2018-05-05,Open Men's 77 kg,Ryan Grimsland,71,98,103,108,125,130,135,108,135,243
Mash Mafia Classic,2018-05-05,Open Men's 94 kg,Kazden Ikehara,92,80,80,85,110,115,120,85,120,205
Mash Mafia Classic,2018-05-05,Open Men's 85 kg,Ameer Khan,83.4,75,75,80,100,100,110,80,110,190
Mash Mafia Classic,2018-05-05,Women's 14-15 Age Group 63 kg,Hannah Dunn,61.6,62,65,68,82,87,88,68,88,156
Mash Mafia Classic,2018-05-05,Open Women's 69 kg,Gabriela Teixeira,65.1,57,62,66,68,73,76,66,76,142
Mash Mafia Classic,2018-05-05,Women's 14-15 Age Group 58 kg,Sarah Benedict,56.6,52,54,54,66,69,72,54,72,126
Mash Mafia Classic,2018-05-05,Open Women's 63 kg,Lisa Kushner,62.7,51,54,54,60,65,70,54,70,124
Mash Mafia Classic,2018-05-05,Open Women's 69 kg,Cooper Padgett,66.7,46,49,51,65,69,71,51,71,122
Mash Mafia Classic,2018-05-05,Open Women's 75 kg,Emily Stephens,73.8,42,45,48,60,65,68,48,68,116
Mash Mafia Classic,2018-05-05,Women's 14-15 Age Group 58 kg,Ayda Suing,54.9,48,49,51,55,58,61,51,61,112
Mash Mafia Classic,2018-05-05,Women's 13 Under Age Group 35kg,Kamryn Heerschap,34,20,22,24,28,31,31,24,31,55
Mash Mafia Classic,2018-05-05,Women's 13 Under Age Group 31kg,Lilla Heath,29.7,20,22,22,26,26,29,22,29,51
