meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 94 kg,Taylor Nelson,88.9,70,75,80,100,105,110,80,110,190
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 94 kg,John Bloom,88,76,76,76,100,105,106,76,106,182
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 77 kg,Austin Goral,70.8,64,68,71,78,82,85,71,85,156
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 77 kg,Harrison Owens,76.4,64,68,71,75,80,82,71,82,153
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 62 kg,Sean Peterson,59.6,61,65,68,71,75,78,68,78,146
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 62 kg,Spencer Johnson,57.1,50,55,60,63,68,72,60,72,132
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 14-15 Age Group 56 Kg,Benjamin Fugger,53.7,42,45,45,54,58,61,45,61,106
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 14-15 Age Group 56 Kg,Jackson Garrett,55.9,42,45,47,50,55,55,47,55,102
Lone Star Youth Nationals Qualifier,2013-05-31,Open Men's 56 kg,Alex Cantu,53,37,37,41,52,56,59,41,59,100
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 56 Kg,Luke Mcpherson,55.4,33,37,40,43,47,50,40,50,90
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group +69 Kg,Jon Grimes,79.7,29,31,34,38,42,46,34,46,80
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 62 Kg,Athan Georgalis,60.6,29,29,32,43,47,47,32,47,79
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 62 Kg,Jasmun Mudhar,59.5,29,32,35,37,40,40,35,40,75
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 44kg,Blaine Brooks,41.7,22,25,28,30,33,36,28,36,64
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 50 Kg,Anthony Ciampaglio,49.4,25,25,27,30,30,33,27,33,60
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 44kg,William Moore,39.6,22,25,28,28,31,31,28,31,59
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group 39kg,Cody Hoerr,38,20,22,24,28,31,34,24,34,58
Lone Star Youth Nationals Qualifier,2013-05-31,Men's 13 Under Age Group +69 Kg,Cortland Smith,85.6,22,25,25,28,28,31,25,31,56
