meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
806 last chance,2024-04-28,Junior Women's 76kg,Alyssa Ballard,75.2,88,90,92,108,112,0,92,112,204
806 last chance,2024-04-28,Men's 16-17 Age Group 73kg,Jesus Nuñez ,72.3,78,82,85,105,108,110,85,110,195
806 last chance,2024-04-28,Men's 14-15 Age Group +89kg,Graeme Osteen,111.3,0,72,75,92,95,98,75,98,173
806 last chance,2024-04-28,Men's 14-15 Age Group 67kg,Jesse Castillo,65.8,73,75,78,85,90,95,78,95,173
806 last chance,2024-04-28,Women's 13 Under Age Group +64kg,Alexxandra Ballard,79.95,40,43,45,55,58,60,45,60,105
806 last chance,2024-04-28,Women's 14-15 Age Group +76kg,Sophie Grace Garces,94.5,40,42,44,53,0,57,44,57,101
806 last chance,2024-04-28,Women's 16-17 Age Group 55kg,Delilah Castillo,54.4,35,0,40,52,56,58,40,58,98
806 last chance,2024-04-28,Junior Women's 81kg,Madeline Osteen,78.25,35,38,41,38,46,50,41,50,91
806 last chance,2024-04-28,Women's 14-15 Age Group 76kg,Bailee  Crawford ,71.1,28,32,35,35,38,40,35,40,75
806 last chance,2024-04-28,Women's 16-17 Age Group 71kg,Lynlee McMurry,65.7,26,0,28,0,30,33,28,33,61
