event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Junior Under 20 81Kg,Aksel Lykkebø Svorstøl,81,87,-92,92,111,116,-120,92,116,208
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Youth Under 17 67Kg,Erik Orasmäe,67,72,75,77,82,87,90,77,90,167
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Youth Under 17 81Kg,Aaron Jensen Fauske,81,73,-77,77,92,-96,-96,77,92,169
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Youth Under 17 81Kg,Andreas Kvamsås Savland,81,70,-75,-75,80,-85,-90,70,80,150
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Youth Under 17 81Kg,Olai Slagstad Aamot,81,-78,78,-81,-102,-102,102,78,102,180
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Junior Under 20 89Kg,Jonathan H. Gustavsen,89,-73,-73,73,85,-90,-95,73,85,158
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Junior Under 20 96Kg,Jakub Karol Kudyba,96,87,92,-95,107,112,-116,92,112,204
Tambarskjelvar IL Seriestevne,2024-03-21,Women's Youth Under 15 45Kg,Tina Sægrov,45,18,20,22,23,25,-27,22,25,47
Tambarskjelvar IL Seriestevne,2024-03-21,Women's Youth Under 17 55Kg,Nathalie Taigla Endestad,55,30,33,36,39,42,-45,36,42,78
Tambarskjelvar IL Seriestevne,2024-03-21,Women's Youth Under 15 64Kg,Hedda Stubhaug Bruflot,64,28,-30,-30,37,-39,39,28,39,67
Tambarskjelvar IL Seriestevne,2024-03-21,Men's Youth Under 17 81Kg,Lyder Slagstad Aamot,81,55,58,-60,65,-70,70,58,70,128
Tambarskjelvar IL Seriestevne,2024-03-21,Women's Youth Under 15 49Kg,Emine Tefre Grønnevik,49,0,0,0,0,0,0,0.0,0.0,0.0
