event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Junior Under 20 73Kg,Cian Green,72.7,103,-106,108,131,134,137,108,137,245
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Under 23 96Kg,Taylor Probets,94.5,105,-109,109,126,131,-135,109,131,240
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Junior Under 20 81Kg,Daniel Davies,75.2,94,97,100,122,125,-128,100,125,225
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Junior Under 20 81Kg,leighton yates,79.9,95,-100,-100,-122,122,127,95,127,222
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Under 23 81Kg,Lewis Thomas,74.1,92,-96,-96,122,126,130,92,130,222
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Under 23 67Kg,Garin Beams,65.9,98,-101,-101,-116,116,119,98,119,217
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Youth Under 17 89Kg,Bryn Astrop,86.4,85,90,-93,-105,105,110,90,110,200
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Junior Under 20 67Kg,Thomas Hughes,65.5,74,77,-80,105,109,-115,77,109,186
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Women's Under 23 87Kg,Niamh Collins,84.5,75,79,82,-95,95,-100,82,95,177
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Youth Under 17 102+Kg,Joshua Williams,110.6,70,-75,75,-89,-89,89,75,89,164
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Women's Under 23 64Kg,Molly Greenwood,63.1,72,75,-78,-89,89,-92,75,89,164
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Youth Under 17 67Kg,Seamus Leonard -Thomas,66.2,64,67,71,85,90,-95,71,90,161
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Youth Under 15 61Kg,Jorgie Hughes-lynch,60.5,60,64,-67,78,81,83,64,83,147
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Men's Youth Under 15 61Kg,Llewellyn Waits,60.5,63,66,66,76,79,-82,66,79,145
Welsh Age Groups 2023 and Open Para Powerlifting,2023-02-18,Women's Junior Under 20 76Kg,Honey Seaton,75.8,52,56,60,65,70,-74,60,70,130
