event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 17 81Kg,Corey Duncan,76.4,93,97,100,116,-119,119,100,119,219
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 89Kg,Marcel Golanski,84.15,53,56,60,70,73,80,60,80,140
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 17 71Kg,Athena Pearce,70,57,59,61,75,-79,-79,61,75,136
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 102+Kg,Callum Howe,110.45,55,-59,59,65,70,-80,59,70,129
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 17 49Kg,Jorja McNaughton,49,-57,57,-59,65,70,-73,57,70,127
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 17 96Kg,Daniel Newman,94.35,55,59,62,-65,-65,65,62,65,127
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 17 64Kg,Iona Currie,63.4,-48,-48,48,55,58,60,48,60,108
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 17 76Kg,Keira Fairley,73.9,43,45,-48,53,56,61,45,61,106
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 81Kg,Ferryn Stewart,80.1,35,37,-40,-50,50,55,37,55,92
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 49Kg,Kolvin Kane,48.75,36,38,40,45,48,-50,40,48,88
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 59Kg,Robyn Fulton,57.4,33,36,-38,43,-46,46,36,46,82
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 49Kg,Robyn Harris,47.5,27,29,31,46,48,50,31,50,81
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 59Kg,Ciara Docherty,58.6,33,36,-39,40,43,-45,36,43,79
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 17 71Kg,Elise Warde,70.4,29,32,-35,41,44,47,32,47,79
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 71Kg,Isabella Marais,66.75,30,32,34,38,41,44,34,44,78
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 81Kg,Carson Weir,78.35,30,32,34,40,42,44,34,44,78
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 49Kg,Holly Gayler,45.7,28,31,34,-38,38,42,34,42,76
Scottish Schools & Development Cup,2023-03-26,Women's Youth Under 15 40Kg,Mischa Allan,39.6,23,24,-25,29,31,33,24,33,57
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 89Kg,Colin Brown,83.4,20,-23,23,25,30,-35,23,30,53
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 55Kg,Calum Low,49.9,15,17,20,22,25,28,20,28,48
Scottish Schools & Development Cup,2023-03-26,Men's Youth Under 15 49Kg,Lucas Holland,45.1,15,20,-23,20,23,-25,20,23,43
