event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Senior 109Kg,Daniel Whitford,107,70,75,80,100,104,-108,80,104,184
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Junior Under 20 96Kg,Hayden Daniel James Dunmall,93,81,-86,-89,-97,98,-102,81,98,179
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Junior Under 20 81Kg,Tobi Clarke,75.6,-70,-70,70,95,-100,-101,70,95,165
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Under 23 96Kg,toby horswell,95.5,52,56,60,80,85,-90,60,85,145
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Women's Youth Under 17 71Kg,Sophie Wheater,64.15,56,-58,58,70,73,76,58,76,134
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Junior Under 20 89Kg,Bachir Moufarrej,89,45,-50,-50,75,-80,80,45,80,125
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Men's Masters (35-39) 81Kg,Samuel Taylor,74.9,50,53,-58,67,-70,70,53,70,123
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Women's Under 23 64Kg,Maisie Davies,61.3,-47,47,50,60,64,68,50,68,118
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Women's Under 23 64Kg,Maeesha  Abdul Hadee ,61.8,-45,45,-47,60,63,0,45,63,108
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Women's Youth Under 15 55Kg,Connie Maggs,53.3,34,36,-39,43,46,50,36,50,86
LAKESIDE WEIGHTLIFTING WINTER INVITIATIONAL,2023-12-02,Women's Masters (40-44) 59Kg,Lucy Maggs,58.8,-17,17,-19,27,-29,-29,17,27,44
