event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Crystal Palace Autumn Bash,2025-09-27,Men's Senior 94Kg,Jordan-Sonny Archer-Murphy,94,97,101,104,133,-140,-150,104,133,237
Crystal Palace Autumn Bash,2025-09-27,Men's Youth Under 15 +88Kg,Alex Brooks,99,85,-90,-90,110,115,-120,85,115,200
Crystal Palace Autumn Bash,2025-09-27,Men's Senior 88Kg,Aaron Brown,87.8,78,81,85,98,102,-105,85,102,187
Crystal Palace Autumn Bash,2025-09-27,Women's Junior Under 20 77Kg,Amarisa Sibley,74,74,77,-80,96,100,-103,77,100,177
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 17 69Kg,Phoebe Davis,63.8,70,73,76,80,83,86,76,86,162
Crystal Palace Autumn Bash,2025-09-27,Women's Senior 63Kg,Hannah Griffiths,63,59,61,63,74,77,-80,63,77,140
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 17 +77Kg,Kiera Houlker-Mountier,77.8,56,58,60,75,78,80,60,80,140
Crystal Palace Autumn Bash,2025-09-27,Women's Masters (35-39) 77Kg,Salla Eskola,74,56,58,-60,75,-78,78,58,78,136
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 17 48Kg,Amber Cruikshank,47.1,55,57,59,64,67,70,59,70,129
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 17 63Kg,Lucy Sheridan-White,59.75,42,46,50,55,59,62,50,62,112
Crystal Palace Autumn Bash,2025-09-27,Boy's Development Under 12 +79Kg,Jack  Perry,82.6,45,50,-53,52,57,-62,50,57,107
Crystal Palace Autumn Bash,2025-09-27,Women's Masters (60-64) +86Kg,Victoria Man,89,37,39,41,52,54,56,41,56,97
Crystal Palace Autumn Bash,2025-09-27,Men's Youth Under 15 65Kg,Monty Moore,61.6,30,33,36,44,48,-54,36,48,84
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 15 +69Kg,Florence McGuckian,73.2,33,35,37,41,44,46,37,46,83
Crystal Palace Autumn Bash,2025-09-27,Men's Youth Under 15 52Kg,George Cruikshank,45.3,30,32,34,38,40,43,34,43,77
Crystal Palace Autumn Bash,2025-09-27,Men's Masters (75-79) 88Kg,Andrzej Skrypij,83.4,30,-33,33,40,-43,-43,33,40,73
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 15 +69Kg,Isla Ball,86.7,17,20,23,35,38,41,23,41,64
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 15 63Kg,Selsey  Brunton ,59.7,23,26,28,30,33,35,28,35,63
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 15 53Kg,Lara Green,49.45,24,26,27,29,31,33,27,33,60
Crystal Palace Autumn Bash,2025-09-27,Women's Youth Under 15 44Kg,Jessica Egarr,42.75,24,26,-27,29,31,33,26,33,59
Crystal Palace Autumn Bash,2025-09-27,Girl's Development Under 10 30Kg,Ellis Underdown,25,5,7,9,10,12,14,9,14,23
Crystal Palace Autumn Bash,2025-09-27,Girl's Development Under 10 44Kg,Luna Ball,41.2,5,6,7,8,9,10,7,10,17
