event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U15 Women 45,TRIBOULOIS Tess,42.8,28.0,31.0,-33.0,40.0,43.0,-46.0,31.0,43.0,74.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U15 Women 49,LEROUGE Manon,48.5,36.0,-39.0,39.0,48.0,50.0,52.0,39.0,52.0,91.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U15 Women 55,HOIRET Ynesse,54.2,-28.0,28.0,30.0,36.0,38.0,-40.0,30.0,38.0,68.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U17 Women 49,BEAUGEOIST Romane,45.8,28.0,31.0,34.0,38.0,41.0,44.0,34.0,44.0,78.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U17 Women 55,ROUSSEAU Nathanaelle,54.1,31.0,35.0,38.0,45.0,48.0,-52.0,38.0,48.0,86.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U20 Women 55,BLONDIN Adélia,51.7,30.0,-33.0,33.0,40.0,43.0,-46.0,33.0,43.0,76.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,U20 Women 71,WITASSE Valentine,68.0,49.0,-52.0,-52.0,63.0,-67.0,-67.0,49.0,63.0,112.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 64,DUCHAN Chloé,60.1,60.0,65.0,-67.0,77.0,81.0,85.0,65.0,85.0,150.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 64,CABON Ophelie,63.6,60.0,63.0,66.0,75.0,80.0,-84.0,66.0,80.0,146.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 64,BOURBIER Maeva,60.3,52.0,55.0,-57.0,-65.0,65.0,70.0,55.0,70.0,125.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 64,RIEDBERGER Aude,61.5,42.0,-46.0,46.0,-52.0,52.0,57.0,46.0,57.0,103.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 64,VUYLSTEKER Lisa,63.9,40.0,43.0,45.0,50.0,53.0,55.0,45.0,55.0,100.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 71,RIBET Manon,64.6,50.0,53.0,-55.0,65.0,67.0,-70.0,53.0,67.0,120.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 71,SANIEZ Adeline,69.1,37.0,41.0,-43.0,-53.0,53.0,59.0,41.0,59.0,100.0
HDF - REG 1 - Comines - FINALE Plateau 3B : SCHAM/Saleux/Roisel/La Vaillante,2024-02-24,SEN Women 76,VAN OVERBEKE Axelle,73.8,70.0,72.0,75.0,80.0,84.0,90.0,75.0,90.0,165.0
