event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Sienna Lambert,36.96,32,36,38,44,49,51,38,51,89,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Amelie Graham,43.64,26,28,-30,37,40,43,28,43,71,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Marcella Kendall,44.02,15,18,21,23,25,27,21,27,48,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Chloe Perkins,53.94,55,58,61,74,77,80,61,80,141,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Charlotte Goodwin,52.48,-42,-42,42,54,57,60,42,60,102,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Olivia Coker,50.22,37,40,-43,54,57,60,40,60,100,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Lucy Webb,53.44,32,35,38,50,57,-60,38,57,95,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Holly Souter,54.18,42,-45,-45,48,51,-53,42,51,93,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Ellie Tuluauau,54.02,31,34,37,44,47,50,37,50,87,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Jayda Allen,54.46,-33,33,35,45,48,50,35,50,85,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Chloe Saliba,58.10,57,60,62,72,76,80,62,80,142,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Sophie Daley,57.46,53,55,-58,65,68,70,55,70,125,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Saige Groves,57.46,-44,44,46,55,59,63,46,63,109,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Jessica Brouff,57.66,48,50,-52,56,58,-60,50,58,108,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Ella Mcintyre,63.25,52,55,60,68,72,75,60,75,135,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Kaiya Ngahina Marsh,61.70,48,51,-55,-62,62,65,51,65,116,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Lily Hayes,61.90,40,43,-45,52,55,-58,43,55,98,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Lexi Seesink,60.20,32,36,40,45,50,-53,40,50,90,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Ellie Wilson,60.25,27,-30,32,42,46,-50,32,46,78,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Annette Harris,62.80,21,24,-27,25,28,32,24,32,56,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Natasha Lynch,64.70,50,-55,55,65,70,75,55,75,130,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Jasmine Nicholls,65.60,38,42,45,-55,56,58,45,58,103,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Harper Talbot,67.45,36,38,40,-57,57,60,40,60,100,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Gabi Williams,69.60,-40,42,-45,55,-59,-59,42,55,97,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Sophie Sears,68.85,35,-38,-38,48,53,-56,35,53,88,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Alana Castle,71.35,54,57,60,70,74,-77,60,74,134,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Selina Richards,72.80,43,46,-48,53,56,57,46,57,103,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Lilliana Kendall,76.10,35,38,40,50,53,-55,40,53,93,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Maelee Sorensen,78.40,20,22,24,30,33,36,24,36,60,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Aldora Tuilaepa,82.20,40,42,44,52,56,-60,44,56,100,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Manaia Ruka,93.35,65,69,72,77,-82,82,72,82,154,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Addison Jeffries,115.35,50,53,55,67,71,75,55,75,130,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Saedy Goble-Lote,89.50,45,50,52,55,60,65,52,65,117,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,female,Abbey Hancock,99.45,44,-47,47,55,60,-64,47,60,107,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Archer Turner,53.44,36,-39,39,51,55,57,39,57,96,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Zavier Cranston,54.24,35,38,41,48,-52,54,41,54,95,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Manning Jeffrey,48.40,28,31,34,44,48,-50,34,48,82,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Zack Oliver,45.28,36,-38,-39,43,-45,45,36,45,81,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Callum Andersen,45.20,17,20,22,25,28,30,22,30,52,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Brendan Drahm,46.38,16,18,20,20,23,26,20,26,46,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Nate Thorley,58.72,52,56,60,75,80,-85,60,80,140,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Kyle Finch,59.32,50,53,56,-77,-77,77,56,77,133,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Samuel Honeywood,60.30,48,50,-52,65,67,-70,50,67,117,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Cooper Lydement,58.36,43,45,47,56,59,62,47,62,109,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Lewis Holtham,58.86,40,-42,43,56,59,62,43,62,105,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Levi Deans,64.25,67,71,-75,90,92,-100,71,92,163,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Levi Cobb,63.30,63,67,71,-87,87,91,71,91,162,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Tyson Williams-Allen,65.60,60,65,-72,77,82,-86,65,82,147,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Will Chandler,62.50,56,58,-60,72,74,-76,58,74,132,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Tait Stuart,72.40,60,-63,64,85,90,-94,64,90,154,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Koby Pocock,68.95,60,64,-66,-75,75,82,64,82,146,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Callan Simpson,71.80,55,-58,60,76,80,81,60,81,141,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Connor Hopgood,70.75,51,54,57,63,66,70,57,70,127,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Ethan Oberem,70.00,-51,51,55,65,70,-72,55,70,125,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Bart Steffen,79.25,78,82,85,103,107,110,85,110,195,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Jack Lafferty,77.95,-70,70,74,93,98,103,74,103,177,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Matthew Hill,73.45,60,-65,65,80,87,92,65,92,157,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Harvey Steffen,79.85,50,53,-55,64,67,70,53,70,123,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Kyle Munyard,90.75,64,-68,68,90,95,97,68,97,165,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Lachlan Little,92.30,-66,66,69,87,93,95,69,95,164,AUS
"QWA State U13, U15 & Youth Championships",2022-04-08,male,Tashaun Solofa,114.70,102,107,-112,135,-140,-145,107,135,242,AUS
