event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Queensland Youth & U15 Championships,2019-07-26,female,Aliyah Brightwell,42.96,23,25,28,31,34,36,28,36,64,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Kirra Nicholls,40.89,16,18,-20,-18,18,20,18,20,38,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Josie Munyard,42.14,-15,15,16,15,17,19,16,19,35,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Lauren Hastings,48.76,40,42,-44,-52,-52,52,42,52,94,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Selina Richards,48.21,15,18,-20,21,24,-27,18,24,42,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Rykah Ross,52.47,44,46,48,53,55,57,48,57,105,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Catie Strout,58.60,53,55,-58,64,67,-70,55,67,122,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Stefani Jenner,55.90,43,46,-48,53,56,58,46,58,104,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Katie Knight,57.80,33,36,39,49,53,56,39,56,95,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Amity Salisbury,57.10,38,41,-44,48,51,53,41,53,94,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Katie Ward,57.70,35,37,38,50,55,-58,38,55,93,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Tahlia Cobb,56.10,32,36,38,44,48,51,38,51,89,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Jessica Brouff,57.10,34,-36,-36,39,41,44,34,44,78,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Tori Gallegos,63.23,67,70,73,86,91,-95,73,91,164,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Adelaide Utz,60.37,47,49,51,60,63,-66,51,63,114,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Ailish Rice,59.91,-40,40,45,50,55,60,45,60,105,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Leela Petersen,60.08,32,36,40,42,46,50,40,50,90,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Piper Goodwin,61.69,-37,37,-39,48,-51,-51,37,48,85,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Adriarne Cracknell,63.31,25,28,32,43,46,-50,32,46,78,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Natasha Lynch,59.29,25,28,31,35,40,45,31,45,76,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Alana Castle,63.74,24,27,30,35,37,40,30,40,70,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Cassandra Avenell,61.40,22,24,26,32,34,36,26,36,62,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Lilliana Kendall,61.85,22,24,26,27,30,32,26,32,58,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Emma Stevens,68.30,-41,41,44,52,55,57,44,57,101,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Rialey Baty,64.34,35,39,43,51,-55,55,43,55,98,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Te Koria Watene,68.54,40,43,45,48,51,-55,45,51,96,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Jacinta Sherwell,65.92,39,42,-45,45,48,51,42,51,93,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Emelia Green,70.14,38,-42,42,46,49,-53,42,49,91,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Cleo O'Dell,64.87,25,27,-29,34,36,-39,27,36,63,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Kylie Salisbury,73.89,56,-59,-61,72,76,-79,56,76,132,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Mackenzie Baty,72.67,33,36,40,-48,48,50,40,50,90,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Jessica Rowe,72.49,32,35,-37,43,46,48,35,48,83,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Ella Taylor,71.58,30,32,34,44,-47,-48,34,44,78,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Emma Moore,73.08,21,24,27,28,32,35,27,35,62,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Hayley Dingle,92.14,50,53,-56,69,72,-75,53,72,125,AUS
Queensland Youth & U15 Championships,2019-07-26,female,Sophie Bourne,93.98,41,44,47,56,60,-64,47,60,107,AUS
Queensland Youth & U15 Championships,2019-07-26,male,Logan Weaver,54.14,56,58,60,80,-83,83,60,83,143,AUS
Queensland Youth & U15 Championships,2019-07-26,male,Levi Deans,53.68,45,48,50,55,-60,60,50,60,110,AUS
Queensland Youth & U15 Championships,2019-07-26,male,Jack Gibson,47.51,46,48,50,54,57,60,50,60,110,AUS
Queensland Youth & U15 Championships,2019-07-26,male,Luc Turnbull,52.70,41,43,45,57,60,-66,45,60,105,AUS
Queensland Youth & U15 Championships,2019-07-26,male,Finn Lamond,46.87,34,37,40,45,48,-51,40,48,88,AUS
