event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"Qld U15, Youth & Junior Championships",2012-08-11,female,Robin Parr,42.30,-27,27,31,42,46,-48,31,46,77,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Madeline Wu,46.10,22,26,28,38,42,-45,28,42,70,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Madalene Derksen,44.40,16,18,20,20,23,25,20,25,45,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Taylor Ryan,52.90,46,-48,-48,61,-64,64,46,64,110,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Hayley Ward,52.30,32,35,37,38,41,45,37,45,82,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Bianca Sheppard,62.70,60,64,67,62,66,69,67,69,136,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Beth Tolputt,60.50,34,-36,-37,38,41,-44,34,41,75,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Bonnie Sleeman,87.90,65,70,75,85,90,-92,75,90,165,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,female,Sarah Counter,83.90,46,50,-54,60,63,66,50,66,116,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Joshua Wu,55.10,60,64,67,85,,,67,85,152,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Mitchell Daniels,53.80,37,42,46,48,52,-56,46,52,98,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Liam Hanlon,45.10,-34,34,-37,45,48,-50,34,48,82,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,James Catlow-Elliott,46.50,25,29,31,39,44,-49,31,44,75,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Julian Norman,35.60,17,20,22,27,30,-33,22,30,52,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Lincoln Clapham,53.60,15,18,20,23,26,29,20,29,49,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Ethan Catlow-Elliott,47.00,15,18,20,16,20,23,20,23,43,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Sam Weston,38.20,15,16,-17,15,17,18,16,18,34,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,James Norman,57.80,50,,,70,,,50,70,120,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Jamie Shaw,63.80,-55,55,-60,70,-75,75,55,75,130,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Nick Toleman,67.40,40,43,45,60,65,67,45,67,112,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Jakob Daniels,76.80,92,-97,-97,112,117,121,92,121,213,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Shane Wagner,76.70,-87,87,-92,107,112,117,87,117,204,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Jonathan Pakchung,80.70,100,-105,105,120,126,130,105,130,235,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Hayden White,79.20,-55,55,-60,-70,-70,-70,55,0,0,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Timothy Hitchener,93.40,57,60,-63,72,-75,75,60,75,135,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Aden Creed,86.00,23,25,27,30,32,35,27,35,62,AUS
"Qld U15, Youth & Junior Championships",2012-08-11,male,Alex Greeff,106.50,70,75,78,85,90,95,78,95,173,AUS
