meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Little Falls HS (In House Meet),2021-03-02,Men's 16-17 Age Group +102kg,Tyler Olson,109.6,78,81,-84,105,109,113,81,113,194
Little Falls HS (In House Meet),2021-03-02,Women's 16-17 Age Group +81kg,Avery Anderson,109.1,57,59,-62,67,71,74,59,74,133
Little Falls HS (In House Meet),2021-03-02,Men's 16-17 Age Group 67kg,Robert Crosswhite,63.2,50,-55,-57,62,65,-66,50,65,115
Little Falls HS (In House Meet),2021-03-02,Women's 16-17 Age Group +81kg,Kaylee Selinski,86.1,39,42,46,48,52,56,46,56,102
Little Falls HS (In House Meet),2021-03-02,Women's 14-15 Age Group +76kg,Avery Selinski,82.3,36,-39,42,41,44,48,42,48,90
Little Falls HS (In House Meet),2021-03-02,Women's 14-15 Age Group 76kg,Emma Goertz,72.2,32,-35,38,44,47,51,38,51,89
Little Falls HS (In House Meet),2021-03-02,Men's 14-15 Age Group 55kg,Brody Lutzke,49.5,33,36,-39,50,-54,-55,36,50,86
Little Falls HS (In House Meet),2021-03-02,Men's 14-15 Age Group 67kg,Rylan Mikkelsen,65.6,35,38,42,35,38,42,42,42,84
Little Falls HS (In House Meet),2021-03-02,Women's 14-15 Age Group 76kg,Alexandra Beto,75.2,31,34,38,40,43,-46,38,43,81
Little Falls HS (In House Meet),2021-03-02,Women's 14-15 Age Group 59kg,Samantha Bartos,57,27,30,33,30,34,38,33,38,71
Little Falls HS (In House Meet),2021-03-02,Men's 13 Under Age Group 44kg,Brock Abbott,41.7,23,26,30,30,33,37,30,37,67
Little Falls HS (In House Meet),2021-03-02,Men's 13 Under Age Group 44kg,Brock Abbott,41.7,23,26,30,30,33,37,30,37,67
Little Falls HS (In House Meet),2021-03-02,Men's 13 Under Age Group 49kg,Payton Bartos,46.9,25,-28,-28,31,34,38,25,38,63
Little Falls HS (In House Meet),2021-03-02,Women's 16-17 Age Group 64kg,Ella Stassen,63.5,19,21,23,-18,18,21,23,21,44
