meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 94 kg,Michael Farmer,92.9,100,105,110,130,-136,136,110,136,246
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 77 kg,Devin Freeman,76.6,93,97,104,120,127,-135,104,127,231
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 85 kg,Evaristo Garza,85,95,-100,-103,-125,130,-135,95,130,225
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 94 kg,Chris Hanson,90,84,-89,-89,112,-118,118,84,118,202
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 77 kg,Noah Sjoblom,72.5,-87,-91,91,110,-115,-115,91,110,201
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 69 kg,Mason Snell,68,80,-87,-87,110,-117,-117,80,110,190
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 105 kg,Adam Hill,94,68,72,75,88,91,-95,75,91,166
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's+105 kg,Joseph Mcamis,145.5,-125,-130,-130,150,157,-166,0,157,157
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 77 kg,Trevor Greenberg,75,67,-71,-71,79,82,85,67,85,152
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Women's 75 kg,Emily LaGroue,74.9,60,63,-67,75,-78,-78,63,75,138
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Women's 63 kg,Elizabeth DiQuattro,61.6,58,61,-64,71,-75,75,61,75,136
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 85 kg,William Gipson,81.9,51,0,54,68,73,77,54,77,131
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Women's 16-17 Age Group 75 kg,Abigail Tate,74.4,53,55,-57,-73,73,75,55,75,130
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 94 kg,Luke Edwards,93,-120,120,125,-157,-157,-157,125,0,125
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Women's 63 kg,Kelly Neal,62.4,50,53,-55,64,69,-73,53,69,122
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 56 kg,Blaine Fussell,54,0,-46,46,60,65,69,46,69,115
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Women's Masters (35-39) +75 kg,Sara Bancroft,79.5,45,49,-53,58,63,-65,49,63,112
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Women's 69 kg,Erica Harmon,65.2,45,-50,50,54,-58,58,50,58,108
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Open Men's 69 kg,Samuel Moncivaez,68.8,98,-100,-100,-125,-125,-127,98,0,98
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Women's 14-15 Age Group 53 kg,Manda Barley,51.7,35,38,41,43,45,49,41,49,90
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Men's 13 Under Age Group +69 Kg,Ian McKinney,85.6,-31,31,-35,40,44,48,31,48,79
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Men's 13 Under Age Group 39kg,Gavin Smith,38.8,25,30,0,39,43,48,30,48,78
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Women's Masters (35-39) 58 kg,Dana Bird,57.5,62,-65,-65,-92,-92,-92,62,0,62
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Men's 13 Under Age Group 39kg,Rocklin Woodard,36.7,14,17,19,23,27,30,19,30,49
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Men's 13 Under Age Group 50 Kg,Tyler Dube,47.9,0,16,0,27,30,-34,16,30,46
MiddleTennesseeBarbell Summer Open v.2,2016-08-06,Women's 13 Under Age Group 35kg,Rylie Woodard,34.7,13,15,0,17,20,23,15,23,38
