event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
British Age Group Championships 2020,2020-10-18,Men's Under 23 96Kg,Edward Smale,91.7,124,128,131,150,156,161,131,161,292
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 81Kg,Stefano Cataldi,79.5,122,0,0,162,0,0,122,162,284
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 102+Kg,David Smith,132.8,105,110,115,135,-140,143,115,143,258
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 89Kg,Edward Owen,88.8,104,107,110,134,137,140,110,140,250
British Age Group Championships 2020,2020-10-18,Men's Junior Under 20 89Kg,Sam Finch,88.5,101,103,105,125,130,135,105,135,240
British Age Group Championships 2020,2020-10-18,Men's Junior Under 20 81Kg,Joseph Harrison,79.95,101,105,107,120,125,127,107,127,234
British Age Group Championships 2020,2020-10-18,Men's Junior Under 20 89Kg,Matthew McEvoy,88.5,110,0,0,122,-128,0,110,122,232
British Age Group Championships 2020,2020-10-18,Men's Junior Under 20 81Kg,Finley Austin,77.3,102,0,0,127,0,0,102,127,229
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 81Kg,Theo Bayne-Dixon,78.6,90,96,101,106,112,-117,101,112,213
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 96Kg,Oliver Godwin,94.6,88,92,95,110,-113,115,95,115,210
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 67Kg,James Richardson,64.2,82,87,92,97,102,110,92,110,202
British Age Group Championships 2020,2020-10-18,Men's Youth Under 15 89Kg,Jonathan Peters,88,82,-86,86,-105,-110,115,86,115,201
British Age Group Championships 2020,2020-10-18,Men's Youth Under 17 67Kg,matthew tonge,64.3,84,86,88,-105,110,-115,88,110,198
British Age Group Championships 2020,2020-10-18,Men's Junior Under 20 61Kg,Benjamin Hickling,57.3,82,85,87,100,-105,110,87,110,197
