event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 15 81Kg,Corey Duncan,76.6,75,80,85,104,107,-110,85,107,192
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 17 89Kg,Jake Dickie,87.6,57,63,67,78,83,-87,67,83,150
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 17 81Kg,Dylan Dickie,80.1,55,58,62,70,75,78,62,78,140
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 17 55Kg,Ross McWatt,54.6,55,58,62,69,72,75,62,75,137
Scottish U17 and Development Cup,2022-06-05,Women's Youth Under 17 49Kg,Jorja McNaughton,48.8,53,55,57,65,-68,-68,57,65,122
Scottish U17 and Development Cup,2022-06-05,Women's Youth Under 15 64Kg,Athena Pearce,63,45,47,50,62,65,-67,50,65,115
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 15 55Kg,Gregor Wood,54.8,50,53,55,60,-65,-66,55,60,115
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 15 102Kg,Callum Howe,100,40,43,45,-52,-52,52,45,52,97
Scottish U17 and Development Cup,2022-06-05,Women's Youth Under 15 64Kg,Iona Currie,61.7,40,-42,42,-50,50,-52,42,50,92
Scottish U17 and Development Cup,2022-06-05,Men's Youth Under 17 67Kg,rhys deeley,66.3,83,87,-90,-110,-110,-110,87,0,87
Scottish U17 and Development Cup,2022-06-05,Women's Youth Under 15 81Kg,Katie Bowles,79.4,25,28,30,32,35,38,30,38,68
Scottish U17 and Development Cup,2022-06-05,Women's Youth Under 15 55Kg,Ciara Docherty,53.2,15,17,19,23,25,27,19,27,46
