event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 81Kg,Stefano Cataldi,77.3,103,108,-111,133,140,145,108,145,253
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 89Kg,Myren Madden,88.6,105,110,-113,130,136,-141,110,136,246
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 81Kg,Drew Burns,78.7,100,105,109,125,130,-133,109,130,239
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 81Kg,Finley Austin,74.5,-80,80,-85,100,-105,-105,80,100,180
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 67Kg,Harvey Morris,65.9,75,-78,79,95,-98,-100,79,95,174
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 55Kg,Benjamin Hickling,54.4,69,72,-75,94,98,101,72,101,173
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 55Kg,James Godden,53.2,70,73,75,91,94,96,75,96,171
BWL European Youth Trials 2019,2019-06-09,Men's Youth Under 17 61Kg,Ben Foggo,59.7,75,-79,-80,-91,-91,91,75,91,166
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 71Kg,Macy John,70.3,-65,-65,65,83,85,-87,65,85,150
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 81+Kg,Ilze Ojere,81.2,64,67,-70,80,83,-86,67,83,150
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 71Kg,Emily Sweeney,69.6,63,65,68,78,81,-84,68,81,149
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 71Kg,Nathalie Richards,67.6,63,65,68,78,81,-84,68,81,149
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 76Kg,Laura Helyar,72.3,65,-68,-70,80,-85,-85,65,80,145
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 55Kg,Taliyah Homewood,51.9,57,-60,62,70,-73,75,62,75,137
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 55Kg,Charlotte Neale,53.1,52,-54,54,68,70,-72,54,70,124
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 55Kg,Charlize Richards,54.8,49,52,55,68,-71,-71,55,68,123
BWL European Youth Trials 2019,2019-06-09,Women's Youth Under 17 59Kg,Clarissa Mullem,57.9,52,-55,-55,-72,-72,-72,52,0,52
