meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Doggie Cup,2018-11-24,Open Men's 109kg,Jacob Pudenz,108.2,-140,140,-150,175,185,-190,140,185,325
Doggie Cup,2018-11-24,Open Men's 102kg,Zachary Schluender,100.5,125,131,-137,146,-151,152,131,152,283
Doggie Cup,2018-11-24,Open Men's 96kg,Kiefer Huff,90.9,100,-105,106,140,-145,147,106,147,253
Doggie Cup,2018-11-24,Open Men's 81kg,James Stetson,78.6,106,111,-115,139,-144,-145,111,139,250
Doggie Cup,2018-11-24,Men's 14-15 Age Group +89kg,Gavin Hernandez,119.6,80,85,90,-108,109,115,90,115,205
Doggie Cup,2018-11-24,Open Men's 81kg,Evan Fristo,80.8,76,79,82,102,107,111,82,111,193
Doggie Cup,2018-11-24,Open Men's 81kg,Ethan Crooks,75.8,77,81,83,100,104,107,83,107,190
Doggie Cup,2018-11-24,Open Men's 89kg,Andrew Obermier,81.2,-76,76,81,100,105,-110,81,105,186
Doggie Cup,2018-11-24,Open Women's 76kg,Taylor Hynes,75.15,74,78,-81,92,97,-102,78,97,175
Doggie Cup,2018-11-24,Open Men's 96kg,Jacob Smitka,89.7,68,72,76,87,91,-95,76,91,167
Doggie Cup,2018-11-24,Open Men's +109kg,Darold Funk,109.7,72,75,-78,80,85,90,75,90,165
Doggie Cup,2018-11-24,Open Women's 81kg,Hannah Trowbridge,78.9,67,70,73,82,-86,87,73,87,160
Doggie Cup,2018-11-24,Open Men's 73kg,Grant Fristo,69.2,67,70,-72,80,84,87,70,87,157
Doggie Cup,2018-11-24,Women's 14-15 Age Group +76kg,Chloe Crooks,98.85,60,63,65,-84,84,89,65,89,154
Doggie Cup,2018-11-24,Open Men's +109kg,Gage Thomas,115.9,60,65,-70,70,80,86,65,86,151
Doggie Cup,2018-11-24,Open Women's 55kg,Rachel Stetson,52.65,58,60,62,70,73,76,62,76,138
Doggie Cup,2018-11-24,Open Men's 61kg,Daniel Kerns,60.3,54,-58,-58,67,74,80,54,80,134
Doggie Cup,2018-11-24,Men's 14-15 Age Group 81kg,Dawson Meese,77.4,54,57,-59,-70,70,72,57,72,129
Doggie Cup,2018-11-24,Men's 13 Under Age Group 55kg,Layne Mason,53,53,56,-58,64,68,71,56,71,127
Doggie Cup,2018-11-24,Open Women's 49kg,Heather Snethen,46.85,49,51,-53,65,67,-69,51,67,118
Doggie Cup,2018-11-24,Women's 14-15 Age Group 71kg,O'lyvia Carriger,64.8,-47,47,50,62,-65,65,50,65,115
Doggie Cup,2018-11-24,Women's Masters (50-54) 64kg,Carol Trees,61.15,44,46,48,62,64,66,48,66,114
Doggie Cup,2018-11-24,Women's 14-15 Age Group 55kg,Maddison Gabel,54,47,49,-51,60,-63,-63,49,60,109
Doggie Cup,2018-11-24,Open Men's 61kg,Michael Schaeffer,60.4,44,47,-49,57,-59,60,47,60,107
Doggie Cup,2018-11-24,Women's 14-15 Age Group 49kg,Abigail Flickner,48.45,-45,-45,45,60,-62,-62,45,60,105
Doggie Cup,2018-11-24,Women's 16-17 Age Group 55kg,Loren Thomas,53.7,42,45,-48,53,-57,57,45,57,102
Doggie Cup,2018-11-24,Women's Masters (40-44) 76kg,Nicole Ratliff,74.5,30,33,-36,43,47,51,33,51,84
Doggie Cup,2018-11-24,Men's 13 Under Age Group +73kg,Tage Robinson,114.9,28,31,34,42,-46,46,34,46,80
Doggie Cup,2018-11-24,Women's Masters (55-59) 59kg,CHERYL SCHUMACHER,58.95,33,35,-37,43,45,-48,35,45,80
Doggie Cup,2018-11-24,Women's 13 Under Age Group 59kg,Kiel Hutto,57.1,32,34,35,36,39,42,35,42,77
Doggie Cup,2018-11-24,Women's 13 Under Age Group +64kg,Sarah Hale,93.9,30,32,33,35,38,-41,33,38,71
Doggie Cup,2018-11-24,Men's 13 Under Age Group 73kg,Rawley Mydland,70.6,26,29,31,33,36,38,31,38,69
Doggie Cup,2018-11-24,Men's 13 Under Age Group 39kg,Carson Ablard,36.6,24,26,28,34,36,38,28,38,66
Doggie Cup,2018-11-24,Women's 13 Under Age Group 55kg,Remington Hildebrand-Page,52.95,23,26,28,32,35,37,28,37,65
Doggie Cup,2018-11-24,Men's 13 Under Age Group 36kg,Grissom Stagg,33.85,22,25,27,32,35,38,27,38,65
Doggie Cup,2018-11-24,Men's 13 Under Age Group 61kg,Cole Kelley,59.7,22,25,-27,32,35,37,25,37,62
Doggie Cup,2018-11-24,Men's 13 Under Age Group 49kg,Jamaurie Pummell,47.5,18,-20,20,26,28,30,20,30,50
Doggie Cup,2018-11-24,Women's 13 Under Age Group 49kg,Gabrielle Thomas,48.65,17,-20,20,23,26,28,20,28,48
Doggie Cup,2018-11-24,Men's 13 Under Age Group 36kg,Nixon Banister,35.6,16,19,-22,24,27,-30,19,27,46
Doggie Cup,2018-11-24,Men's 13 Under Age Group 32kg,Wyatt Stagg,24.3,15,-17,17,22,25,27,17,27,44
Doggie Cup,2018-11-24,Men's 13 Under Age Group 67kg,Nicholas Watson,65.7,12,14,16,20,24,-26,16,24,40
Doggie Cup,2018-11-24,Men's 13 Under Age Group 32kg,Arnee Martin,26.5,-14,14,15,16,17,19,15,19,34
Doggie Cup,2018-11-24,Men's 13 Under Age Group 32kg,Carter Stagg,20.77,7,8,9,11,12,13,9,13,22
Doggie Cup,2018-11-24,Men's 13 Under Age Group 32kg,Kalija Martin,21.6,6,-7,7,10,11,12,7,12,19
